name,website,schedule,latitude,longitude,address
100-Mile Market,http://www.peoplesfoodco-op.org/,05/07/2014 to 10/29/2014 Wed: 3:00 PM-7:00 PM;,-85.57502,42.29596,"507 Harrison Street, Kalamazoo, Michigan 49007"
106 S. Main Street Farmers Market,http://thetownofsixmile.wordpress.com/,,-82.8187,34.8042,"106 S. Main Street Six Mile, South Carolina 29682"
10th Steet Community Farmers Market,,04/02/2014 to 11/30/2014 Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,-94.2746191,37.495628,"10th Street and Poplar Lamar, Missouri 64759"
112st Madison Avenue,,July to November Tue:8:00 am - 5:00 pm;Sat:8:00 am - 8:00 pm;,-73.9493,40.7939,"112th Madison Avenue New York, New York 10029"
12 South Farmers Market,http://www.12southfarmersmarket.com,05/05/2015 to 10/27/2015 Tue: 3:30 PM-6:30 PM;,-86.790709,36.11837,"3000 Granny White Pike Nashville, Tennessee 37204"
125th Street Fresh Connect Farmers' Market,http://www.125thStreetFarmersMarket.com,06/10/2014 to 11/25/2014 Tue: 10:00 AM-7:00 PM;,-73.9482477,40.8089533,"163 West 125th Street and Adam Clayton Powell, Jr. Blvd. New York, New York 10027"
12th & Brandywine Urban Farm Market,,05/16/2014 to 10/17/2014 Fri: 8:00 AM-11:00 AM;,-75.53446,39.742117,"12th & Brandywine Streets Wilmington, Delaware 19801"
14&U Farmers' Market,,05/03/2014 to 11/22/2014 Sat: 9:00 AM-1:00 PM;,-77.0320505,38.9169984,"1400 U Street NW Washington, District of Columbia 20009"
17 on the Square,,,-77.2316,39.8313,"17 Lincoln Square Gettysburg, Pennsylvania 17325"
175th Street Greenmarket,http://www.grownyc.org/ourmarkets,06/26/2014 to 11/20/2014 Thu: 8:00 AM-5:00 PM;,-73.9378024,40.8459583,"175th Street at Wadsworth Ave New York, New York 10033"
17th Ave Market,http://www.iatp.org/minimarkets,June to September Wed:3:00 pm - 7:00 pm;,-93.2591,45.0044,"1622 6th St NE Minneapolis, Minnesota 55413"
17th Street Farmers Market,http://www.17thstreetfarmersmarket.com,,-77.4886,37.5583,"17th & Main Streets Richmond, Virginia 23219"
18th and Christian Farmers' Market,http://thefoodtrust.org/farmers-markets/market/18th-Christian,06/01/2015 to 11/15/2015 Thu: 3:00 PM-7:00 PM;,-75.173431,39.940943,"18th Street and Christian Street Philadelphia, Pennsylvania 19146"
